PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00047						-0.162678	0.152913	-0.150179	0.025453	-0.014891	-0.000662	-0.116675	-4.790025	93.024940	-0.183952	-0.065236	-0.016372
00048						-0.153743	0.109672	-0.130590	0.036573	-0.018942	0.016844	-0.085566	-4.807292	93.035530	-0.186352	-0.062320	-0.019326
00049						-0.275227	0.125330	-0.020447	0.046650	-0.009011	0.029729	-0.046138	-4.820954	93.063301	-0.189631	-0.059595	-0.020989
00051						-0.116519	0.135411	-0.005797	0.047889	0.003833	0.030445	0.005722	-4.821299	93.095428	-0.193531	-0.055515	-0.020737
00052						-0.085245	0.108665	-0.099902	0.021190	0.015775	0.031202	0.033331	-4.809050	93.129997	-0.194098	-0.053189	-0.022014
00053						-0.211757	0.094505	-0.174418	0.041197	0.004568	0.033271	0.053408	-4.798652	93.166611	-0.195906	-0.051110	-0.024915
00054						-0.106743	0.075455	-0.142108	0.083471	-0.005604	0.032422	0.123181	-4.800807	93.203262	-0.198168	-0.049401	-0.027929
00055						0.123647	0.069206	-0.022675	0.040410	-0.014593	0.024089	0.189576	-4.814697	93.233223	-0.196132	-0.048007	-0.029088
00056						0.020434	-0.023863	0.059959	-0.026438	-0.011818	0.015654	0.176926	-4.829517	93.255211	-0.193380	-0.047544	-0.028410
00057						-0.120040	-0.119300	0.058270	-0.007504	-0.001173	0.015973	0.142391	-4.836386	93.272514	-0.193965	-0.048812	-0.026917
00058						-0.049040	-0.160281	0.014103	0.016857	0.000300	0.026736	0.143617	-4.836318	93.297394	-0.194465	-0.051839	-0.026411
00059						0.008307	-0.153422	0.036480	0.014164	0.008007	0.030814	0.154432	-4.830761	93.328438	-0.193832	-0.054751	-0.025745
00060						0.024770	-0.063357	0.057545	-0.002316	0.009870	0.031970	0.148728	-4.821005	93.363739	-0.192501	-0.056908	-0.024655
00061						-0.086360	-0.053814	0.046302	-0.008342	0.012464	0.029689	0.124047	-4.807411	93.398010	-0.192307	-0.058131	-0.023532
00062						-0.016637	-0.087173	0.038099	0.003880	0.007925	0.025621	0.116188	-4.795619	93.427872	-0.192103	-0.059181	-0.022352
00064						0.029544	-0.036688	0.015877	-0.004236	0.001597	0.016809	0.107265	-4.790648	93.450897	-0.190470	-0.059921	-0.021711
00065						-0.046663	-0.072471	0.028908	0.001252	-0.007682	0.015780	0.094767	-4.792624	93.467468	-0.189317	-0.060685	-0.020544
00066						0.058735	-0.133532	0.005693	0.012330	-0.009249	0.013880	0.100703	-4.799671	93.480255	-0.188010	-0.062355	-0.020177
00067						0.035361	-0.155545	-0.034617	0.021959	-0.005825	0.019628	0.109347	-4.808483	93.498428	-0.185672	-0.065032	-0.020744
00068						0.040716	-0.159776	-0.033846	0.040204	-0.011525	0.026391	0.134605	-4.817266	93.525368	-0.184179	-0.067998	-0.021544
00069						0.041263	-0.141046	-0.021307	0.040334	-0.001197	0.032546	0.171997	-4.821220	93.560379	-0.182779	-0.070794	-0.022237
00070						0.023680	-0.043780	-0.027710	0.002105	0.007688	0.029479	0.185538	-4.815898	93.595932	-0.180552	-0.072568	-0.022706
00071						-0.107549	-0.004981	0.014712	0.000652	0.018077	0.018366	0.172272	-4.799320	93.619629	-0.181021	-0.072536	-0.022682
00072						0.036940	0.019755	0.033047	-0.003445	0.024434	-0.001427	0.168528	-4.775701	93.626091	-0.180897	-0.071979	-0.022218
00073						0.076439	0.037847	0.029868	-0.038329	0.023501	-0.012135	0.135180	-4.747051	93.616631	-0.178310	-0.071039	-0.021844
00074						-0.005781	0.019306	-0.008695	-0.044782	0.015961	-0.017527	0.073051	-4.722095	93.597977	-0.176714	-0.070270	-0.021815
00075						0.014786	0.051723	0.014105	-0.026008	0.010055	-0.024264	0.030598	-4.705512	93.571159	-0.175959	-0.069127	-0.021946
00076						0.095998	0.001856	-0.015706	-0.048873	0.003307	-0.032762	-0.014932	-4.698963	93.533699	-0.173081	-0.068041	-0.022191
00078						-0.054480	-0.024148	-0.042264	-0.034052	-0.011100	-0.035932	-0.068916	-4.706326	93.492859	-0.170930	-0.067593	-0.022889
00079						-0.069332	-0.052505	0.064244	0.015443	-0.015387	-0.037829	-0.078460	-4.722378	93.451332	-0.171525	-0.068186	-0.022612
00080						0.134390	-0.044717	0.092432	-0.007729	-0.010346	-0.041170	-0.069888	-4.736230	93.405136	-0.169146	-0.068536	-0.020594
