Number,(Secs),(cm),(cm),(F)
133,13,300,128,60,128,60,63,0, 35
134,13,400,125,09,125,09,63,0, 37
135,13,500,121,31,121,31,63,0, 39
136,13,600,117,98,117,98,63,0, 41
137,13,700,114,69,114,69,63,0, 43
138,13,800,111,45,111,45,63,0, 45
139,13,900,108,16,108,16,63,0, 47
140,14,000,105,04,105,04,62,6, 49
141,14,100,102,08,102,08,62,6, 51
142,14,200,99,53,99,53,63,0, 53
143,14,300,97,59,97,59,62,6, 55
144,14,400,96,11,96,11,62,6, 57
145,14,500,94,42,94,42,62,6, 59
146,14,600,93,16,93,16,63,0, 61
147,14,700,93,07,93,07,63,0, 63
148,14,800,94,29,94,29,62,6, 65
149,14,900,95,82,95,82,62,6, 67
150,15,000,97,46,97,46,62,6, 69
151,15,100,99,10,99,10,63,0, 71
152,15,200,99,52,99,52,63,0, 73
153,15,300,99,08,99,08,63,0, 75
154,15,400,98,06,98,06,63,0, 77
155,15,500,96,84,96,84,63,0, 79
156,15,600,95,92,95,92,63,0, 81
157,15,700,95,86,95,86,63,0, 83
158,15,800,96,53,96,53,63,0, 85
159,15,900,97,56,97,56,63,0, 87
160,16,000,98,82,98,82,63,0, 89
161,16,100,100,20,100,20,63,0, 91
162,16,200,101,06,101,06,63,0, 93
163,16,300,101,67,101,67,63,0, 95
164,16,400,102,31,102,31,63,0, 97
165,16,500,102,65,102,65,63,0, 99
166,16,600,102,88,102,88,63,0, 101
167,16,700,103,00,103,00,63,0, 102
168,16,800,103,44,103,44,63,0, 105
169,16,900,103,75,103,75,63,0, 107
170,17,000,103,73,103,73,63,0, 109
171,17,100,103,40,103,40,63,0, 111
172,17,200,102,85,102,85,63,0, 113
173,17,300,101,79,101,79,63,0, 115
174,17,400,100,68,100,68,63,0, 117
175,17,500,100,13,100,13,63,0, 119
176,17,600,99,77,99,77,63,0, 121
177,17,700,99,67,99,67,63,0, 123
178,17,800,99,87,99,87,63,0, 125
179,17,900,100,31,100,31,63,0, 127
180,18,000,100,63,100,63,63,0, 129
181,18,100,100,69,100,69,63,0, 131
182,18,200,101,29,101,29,63,0, 133
183,18,300,102,21,102,21,63,0, 135
184,18,400,103,06,103,06,63,0, 137
185,18,500,104,02,104,02,63,0, 139
186,18,600,105,67,105,67,63,0, 141
187,18,700,107,37,107,37,63,0, 143
188,18,800,109,59,109,59,63,0, 145
189,18,900,111,98,111,98,63,0, 147
190,19,000,114,36,114,36,63,0, 149
191,19,100,116,06,116,06,63,0, 151
192,19,200,116,71,116,71,63,0, 153
193,19,300,115,62,115,62,63,0, 155
194,19,400,113,87,113,87,63,0, 157
195,19,500,112,01,112,01,63,0, 159
196,19,600,109,48,109,48,63,0, 161
197,19,700,107,77,107,77,63,0, 163
198,19,800,106,50,106,50,63,0, 165
199,19,900,105,69,105,69,63,0, 167
200,20,000,105,26,105,26,62,6, 169
201,20,100,105,04,105,04,62,6, 171
202,20,200,105,06,105,06,62,6, 173
203,20,300,104,93,104,93,63,0, 175
